product_id,category_id,product_name,manufacturer,part_number,product_type,description,technical_specs,is_active,created_at
11,5,Engine Mount Bolt Kit 011,Demo Aero Components 2,DEMO-PART-00011,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 553, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00011"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""538.02""}",true,2026-09-01 00:00:00
12,4,Compressor Service Module 012,Demo Aero Components 3,DEMO-PART-00012,MODULE,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 554, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Engine"", ""source_part_id"": ""P00012"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""355.03""}",true,2026-09-01 00:00:00
13,1,Navigation Interface 013,Demo Aero Components 4,DEMO-PART-00013,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00013"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP012"", ""source_unit_cost"": ""1751.39""}",true,2026-09-01 00:00:00
14,6,Hydraulic Valve Assembly 014,Demo Aero Components 5,DEMO-PART-00014,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00014"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP040"", ""source_unit_cost"": ""188.10""}",true,2026-09-01 00:00:00
15,4,Compressor Service Module 015,Demo Aero Components 1,DEMO-PART-00015,MODULE,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 527, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Engine"", ""source_part_id"": ""P00015"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP019"", ""source_unit_cost"": ""3003.43""}",true,2026-09-01 00:00:00
16,7,Landing Gear Sensor 016,Demo Aero Components 2,DEMO-PART-00016,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""LandingGear"", ""source_part_id"": ""P00016"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP022"", ""source_unit_cost"": ""2044.15""}",true,2026-09-01 00:00:00
17,2,Cabin Air Filter 017,Demo Aero Components 3,DEMO-PART-00017,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00017"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP031"", ""source_unit_cost"": ""6462.47""}",true,2026-09-01 00:00:00
18,2,Cabin Control Panel 018,Demo Aero Components 4,DEMO-PART-00018,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00018"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP027"", ""source_unit_cost"": ""1153.39""}",true,2026-09-01 00:00:00
19,5,Engine Mount Bolt Kit 019,Demo Aero Components 5,DEMO-PART-00019,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 542, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00019"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP007"", ""source_unit_cost"": ""2838.25""}",true,2026-09-01 00:00:00
20,6,Hydraulic Valve Assembly 020,Demo Aero Components 1,DEMO-PART-00020,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00020"", ""source_shelf_life_days"": 950, ""source_supplier_id"": ""SUP013"", ""source_unit_cost"": ""295.40""}",true,2026-09-01 00:00:00
21,6,Hydraulic Filter 021,Demo Aero Components 2,DEMO-PART-00021,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00021"", ""source_shelf_life_days"": 709, ""source_supplier_id"": ""SUP015"", ""source_unit_cost"": ""415.37""}",true,2026-09-01 00:00:00
22,6,Hydraulic Valve Assembly 022,Demo Aero Components 3,DEMO-PART-00022,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00022"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP038"", ""source_unit_cost"": ""5429.21""}",true,2026-09-01 00:00:00
23,8,Access Panel 023,Demo Aero Components 4,DEMO-PART-00023,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00023"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP029"", ""source_unit_cost"": ""2333.09""}",true,2026-09-01 00:00:00
24,5,Engine Housing Fastener Set 024,Demo Aero Components 5,DEMO-PART-00024,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 554, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00024"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP015"", ""source_unit_cost"": ""7635.37""}",true,2026-09-01 00:00:00
25,8,Access Panel 025,Demo Aero Components 1,DEMO-PART-00025,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00025"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""449.80""}",true,2026-09-01 00:00:00
26,5,Engine Housing Fastener Set 026,Demo Aero Components 2,DEMO-PART-00026,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 526, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00026"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""1094.97""}",true,2026-09-01 00:00:00
27,1,Navigation Interface 027,Demo Aero Components 3,DEMO-PART-00027,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00027"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP016"", ""source_unit_cost"": ""850.73""}",true,2026-09-01 00:00:00
28,4,Engine Oil Filter 028,Demo Aero Components 4,DEMO-PART-00028,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 528, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Engine"", ""source_part_id"": ""P00028"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP017"", ""source_unit_cost"": ""471.91""}",true,2026-09-01 00:00:00
29,8,Access Panel 029,Demo Aero Components 5,DEMO-PART-00029,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00029"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP036"", ""source_unit_cost"": ""4196.96""}",true,2026-09-01 00:00:00
30,6,Hydraulic Valve Assembly 030,Demo Aero Components 1,DEMO-PART-00030,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00030"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP023"", ""source_unit_cost"": ""294.96""}",true,2026-09-01 00:00:00
31,4,Engine Oil Filter 031,Demo Aero Components 2,DEMO-PART-00031,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 542, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Engine"", ""source_part_id"": ""P00031"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP006"", ""source_unit_cost"": ""472.16""}",true,2026-09-01 00:00:00
32,3,Engine Starter Relay 032,Demo Aero Components 3,DEMO-PART-00032,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 547, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00032"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP029"", ""source_unit_cost"": ""991.12""}",true,2026-09-01 00:00:00
33,6,Hydraulic Filter 033,Demo Aero Components 4,DEMO-PART-00033,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00033"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP024"", ""source_unit_cost"": ""276.87""}",true,2026-09-01 00:00:00
34,5,Engine Housing Fastener Set 034,Demo Aero Components 5,DEMO-PART-00034,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 550, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00034"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP021"", ""source_unit_cost"": ""684.58""}",true,2026-09-01 00:00:00
35,6,Hydraulic Filter 035,Demo Aero Components 1,DEMO-PART-00035,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00035"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""4780.74""}",true,2026-09-01 00:00:00
36,8,Structural Bracket 036,Demo Aero Components 2,DEMO-PART-00036,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00036"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP037"", ""source_unit_cost"": ""855.05""}",true,2026-09-01 00:00:00
37,3,Engine Ignition Lead 037,Demo Aero Components 3,DEMO-PART-00037,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 524, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00037"", ""source_shelf_life_days"": 530, ""source_supplier_id"": ""SUP014"", ""source_unit_cost"": ""6621.05""}",true,2026-09-01 00:00:00
38,5,Engine Housing Fastener Set 038,Demo Aero Components 4,DEMO-PART-00038,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 526, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00038"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP017"", ""source_unit_cost"": ""1144.08""}",true,2026-09-01 00:00:00
39,7,Landing Gear Seal Kit 039,Demo Aero Components 5,DEMO-PART-00039,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""LandingGear"", ""source_part_id"": ""P00039"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP008"", ""source_unit_cost"": ""1599.03""}",true,2026-09-01 00:00:00
40,8,Structural Bracket 040,Demo Aero Components 1,DEMO-PART-00040,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00040"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP026"", ""source_unit_cost"": ""166.51""}",true,2026-09-01 00:00:00
41,5,Engine Mount Bolt Kit 041,Demo Aero Components 2,DEMO-PART-00041,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 529, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00041"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP017"", ""source_unit_cost"": ""700.78""}",true,2026-09-01 00:00:00
42,5,Engine Housing Fastener Set 042,Demo Aero Components 3,DEMO-PART-00042,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 530, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00042"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP014"", ""source_unit_cost"": ""2238.82""}",true,2026-09-01 00:00:00
43,3,Engine Ignition Lead 043,Demo Aero Components 4,DEMO-PART-00043,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 542, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00043"", ""source_shelf_life_days"": 500, ""source_supplier_id"": ""SUP028"", ""source_unit_cost"": ""1779.33""}",true,2026-09-01 00:00:00
44,6,Hydraulic Valve Assembly 044,Demo Aero Components 5,DEMO-PART-00044,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00044"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP017"", ""source_unit_cost"": ""1222.57""}",true,2026-09-01 00:00:00
45,5,Engine Mount Bolt Kit 045,Demo Aero Components 1,DEMO-PART-00045,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 548, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00045"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP019"", ""source_unit_cost"": ""4045.15""}",true,2026-09-01 00:00:00
46,1,Communication Control Unit 046,Demo Aero Components 2,DEMO-PART-00046,MODULE,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00046"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP018"", ""source_unit_cost"": ""174.12""}",true,2026-09-01 00:00:00
47,1,Navigation Interface 047,Demo Aero Components 3,DEMO-PART-00047,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00047"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP011"", ""source_unit_cost"": ""175.38""}",true,2026-09-01 00:00:00
48,5,Engine Housing Fastener Set 048,Demo Aero Components 4,DEMO-PART-00048,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 554, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00048"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP006"", ""source_unit_cost"": ""1384.03""}",true,2026-09-01 00:00:00
49,5,Engine Mount Bolt Kit 049,Demo Aero Components 5,DEMO-PART-00049,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 524, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00049"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP034"", ""source_unit_cost"": ""10717.62""}",true,2026-09-01 00:00:00
50,8,Structural Bracket 050,Demo Aero Components 1,DEMO-PART-00050,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00050"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP004"", ""source_unit_cost"": ""448.26""}",true,2026-09-01 00:00:00
51,7,Landing Gear Seal Kit 051,Demo Aero Components 2,DEMO-PART-00051,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""LandingGear"", ""source_part_id"": ""P00051"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP013"", ""source_unit_cost"": ""8954.31""}",true,2026-09-01 00:00:00
52,3,Engine Starter Relay 052,Demo Aero Components 3,DEMO-PART-00052,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 528, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00052"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP027"", ""source_unit_cost"": ""1176.07""}",true,2026-09-01 00:00:00
53,4,Fuel Nozzle Assembly 053,Demo Aero Components 4,DEMO-PART-00053,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 529, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Engine"", ""source_part_id"": ""P00053"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP006"", ""source_unit_cost"": ""501.15""}",true,2026-09-01 00:00:00
54,5,Engine Housing Fastener Set 054,Demo Aero Components 5,DEMO-PART-00054,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 530, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00054"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP027"", ""source_unit_cost"": ""4059.97""}",true,2026-09-01 00:00:00
55,8,Access Panel 055,Demo Aero Components 1,DEMO-PART-00055,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00055"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP030"", ""source_unit_cost"": ""4354.59""}",true,2026-09-01 00:00:00
56,2,Cabin Control Panel 056,Demo Aero Components 2,DEMO-PART-00056,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00056"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP027"", ""source_unit_cost"": ""1158.25""}",true,2026-09-01 00:00:00
57,1,Navigation Interface 057,Demo Aero Components 3,DEMO-PART-00057,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00057"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP013"", ""source_unit_cost"": ""118.18""}",true,2026-09-01 00:00:00
58,6,Hydraulic Valve Assembly 058,Demo Aero Components 4,DEMO-PART-00058,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": true, ""source_part_family"": ""Hydraulics"", ""source_part_id"": ""P00058"", ""source_shelf_life_days"": 842, ""source_supplier_id"": ""SUP001"", ""source_unit_cost"": ""1572.49""}",true,2026-09-01 00:00:00
59,2,Cabin Air Filter 059,Demo Aero Components 5,DEMO-PART-00059,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00059"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP036"", ""source_unit_cost"": ""1183.97""}",true,2026-09-01 00:00:00
60,2,Cabin Control Panel 060,Demo Aero Components 1,DEMO-PART-00060,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Cabin"", ""source_part_id"": ""P00060"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP014"", ""source_unit_cost"": ""546.59""}",true,2026-09-01 00:00:00
61,8,Access Panel 061,Demo Aero Components 2,DEMO-PART-00061,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00061"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP033"", ""source_unit_cost"": ""192.94""}",true,2026-09-01 00:00:00
62,3,Engine Starter Relay 062,Demo Aero Components 3,DEMO-PART-00062,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 526, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Electrical"", ""source_part_id"": ""P00062"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP008"", ""source_unit_cost"": ""9803.25""}",true,2026-09-01 00:00:00
63,1,Navigation Interface 063,Demo Aero Components 4,DEMO-PART-00063,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Avionics"", ""source_part_id"": ""P00063"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP007"", ""source_unit_cost"": ""359.45""}",true,2026-09-01 00:00:00
64,8,Structural Bracket 064,Demo Aero Components 5,DEMO-PART-00064,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": null, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Structure"", ""source_part_id"": ""P00064"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP032"", ""source_unit_cost"": ""1813.76""}",true,2026-09-01 00:00:00
65,5,Engine Mount Bolt Kit 065,Demo Aero Components 1,DEMO-PART-00065,COMPONENT,Custom educational catalog item; technical identity and fitment are generated for the demo.,"{""demo_engine_model_id"": 529, ""is_demo"": true, ""source_is_repairable"": false, ""source_part_family"": ""Fasteners"", ""source_part_id"": ""P00065"", ""source_shelf_life_days"": null, ""source_supplier_id"": ""SUP038"", ""source_unit_cost"": ""1417.61""}",true,2026-09-01 00:00:00
